  A B C D E    y 
  1 1 1 1 1  0.9331
  1 2 1 1 1  0.9214
  2 1 1 1 1  0.8664
  2 2 1 1 1  0.8729
  3 1 1 1 1  0.8711
  3 2 1 1 1  0.8627
  1 1 1 1 2  0.9253
  1 2 1 1 2  0.9399
  2 1 1 1 2  0.8508
  2 2 1 1 2  0.8711
  3 1 1 1 2  0.8618
  3 2 1 1 2  0.8785
  1 1 1 2 1  0.8472
  1 2 1 2 1  0.8417
  2 1 1 2 1  0.7948
  2 2 1 2 1  0.8305
  3 1 1 2 1  0.7810
  3 2 1 2 1  0.8009
  1 1 1 2 2  0.8554
  1 2 1 2 2  0.8517
  2 1 1 2 2  0.7810
  2 2 1 2 2  0.7784
  3 1 1 2 2  0.7887
  3 2 1 2 2  0.7853
  1 1 2 1 1  0.9253
  1 2 2 1 1  0.9340
  2 1 2 1 1  0.8879
  2 2 2 1 1  0.8729
  3 1 2 1 1  0.8618
  3 2 2 1 1  0.8692
  1 1 2 1 2  0.9301
  1 2 2 1 2  0.9272
  2 1 2 1 2  0.8545
  2 2 2 1 2  0.8536
  3 1 2 1 2  0.8720
  3 2 2 1 2  0.8674
  1 1 2 2 1  0.8435
  1 2 2 2 1  0.8674
  2 1 2 2 1  0.7879
  2 2 2 2 1  0.8009
  3 1 2 2 1  0.7904
  3 2 2 2 1  0.7793
  1 1 2 2 2  0.8463
  1 2 2 2 2  0.8526
  2 1 2 2 2  0.7784
  2 2 2 2 2  0.7863
  3 1 2 2 2  0.7939
  3 2 2 2 2  0.7844
  1 1 3 1 1  0.9146
  1 2 3 1 1  0.9272
  2 1 3 1 1  0.8769
  2 2 3 1 1  0.8683
  3 1 3 1 1  0.8591
  3 2 3 1 1  0.8683
  1 1 3 1 2  0.9399
  1 2 3 1 2  0.9488
  2 1 3 1 2  0.8739
  2 2 3 1 2  0.8729
  3 1 3 1 2  0.8729
  3 2 3 1 2  0.8481
  1 1 3 2 1  0.8499
  1 2 3 2 1  0.8417
  2 1 3 2 1  0.7893
  2 2 3 2 1  0.8009
  3 1 3 2 1  0.7893
  3 2 3 2 1  0.7904
  1 1 3 2 2  0.8472
  1 2 3 2 2  0.8300
  2 1 3 2 2  0.7913
  2 2 3 2 2  0.7904
  3 1 3 2 2  0.7956
  3 2 3 2 2  0.7827
