date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:54	315/315	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Mar%202025%2006:56:54%20GMT	http://deanvossdraguljic.ietsandbox.net/robots.txt		(from )
13:56:54	4267/4267	---M-Z	200	added ('OK')	text/html	etag:%2210ab-58c179871ccf7-gzip%22	http://deanvossdraguljic.ietsandbox.net/	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/index.html	(from )
13:56:55	55729/55729	---M--	200	added ('OK')	application/pdf	etag:%22d9b1-58c1786ea6946%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/preface2.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/preface2.pdf	(from http://deanvossdraguljic.ietsandbox.net/)
13:56:57	68787/68787	---M--	200	added ('OK')	application/pdf	etag:%2210cb3-58c1786a4a60c%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVoss/preface1.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVoss/preface1.pdf	(from http://deanvossdraguljic.ietsandbox.net/)
13:56:57	2080/2080	---M-Z	200	added ('OK')	text/html	etag:%22820-58c17867f6ae0-gzip%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/chapters.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/chapters.html	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:00	11938/11938	---M-Z	200	added ('OK')	text/html	etag:%222ea2-59a1089b93b46-gzip%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:01	17205/17205	---M-Z	200	added ('OK')	text/html	etag:%224335-59a109818f3f1-gzip%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-data.html	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-data.html	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:02	17086/17086	---M-Z	200	added ('OK')	text/html	etag:%2242be-59a1084526de4-gzip%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/R-code.html	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/R-code.html	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:03	17557/17557	---M-Z	200	added ('OK')	text/html	etag:%224495-59a109f0af475-gzip%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/R-data.html	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/R-data.html	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:09	108695/108695	---M--	200	added ('OK')	application/pdf	etag:%221a897-5a84cc6c7afc9%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/printing1.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/printing1.pdf	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:15	224277/224277	---M--	200	added ('OK')	application/pdf	etag:%2236c15-59b2d828a07a0%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVoss/printing1.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVoss/printing1.pdf	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:15	234829/234829	---M--	200	added ('OK')	application/pdf	etag:%223954d-59b2d828ca77f%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVoss/printing2.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVoss/printing2.pdf	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:16	671384/671384	---M--	200	added ('OK')	application/pdf	etag:%22a3e98-58c178d86798a%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/TOC.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/TOC.pdf	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:16	183/183	---M--	200	added ('OK')	text/html	etag:%22b7-58c178ad3ce83%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/randomize.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/randomize.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:17	482/482	---M--	200	added ('OK')	text/html	etag:%221e2-58c178ae1f77b%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/soap.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/soap.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:18	403/403	---M--	200	added ('OK')	text/html	etag:%22193-58c178ae581b9%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/soap2.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/soap2.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:19	318673/318673	---M--	200	added ('OK')	image/jpeg	etag:%224dcd1-58c1786e0766b%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVossDraguljic.jpg	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/DeanVossDraguljic.jpg	(from http://deanvossdraguljic.ietsandbox.net/)
13:57:19	625/625	---M--	200	added ('OK')	text/html	etag:%22271-58c178a6804fe%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/battery.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/battery.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:19	1666/1666	---M--	200	added ('OK')	text/html	etag:%22682-58c178ab0b636%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/mung.bean.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/mung.bean.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:20	1495/1495	---M--	200	added ('OK')	text/html	etag:%225d7-58c178ab430d4%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/mung.bean2.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/mung.bean2.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:21	646/646	---M--	200	added ('OK')	text/html	etag:%22286-58c178aec8695%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/trout.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/trout.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:22	1157/1157	---M--	200	added ('OK')	text/html	etag:%22485-58c178ad74921%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/reaction.time.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/reaction.time.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
13:57:23	1658/1658	---M--	200	added ('OK')	text/html	etag:%2267a-58c178adaf29f%22	http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/reaction.time2.sas	/media/tuhocr/CLOUD1/TURTLE/meadow/angela/deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code/reaction.time2.html	(from http://deanvossdraguljic.ietsandbox.net/DeanVossDraguljic/SAS-code.html)
