date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:28	153/153	---M-Z	200	added ('OK')	text/plain	etag:%22ff3bf88ab2bbca1:0%22	http://www.bio.ic.ac.uk/robots.txt		(from )
14:24:28	4135/4135	---M-Z	200	added ('OK')	text/html	etag:%22b3538bffc43fd01:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/index.html	(from )
14:24:31	1410/1410	---M--	200	added ('OK')	image/gif	etag:%2220da34914ebec21:0%22	http://www.bio.ic.ac.uk/images/gifs/smalllogo.gif	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/images/gifs/smalllogo.gif	(from http://www.bio.ic.ac.uk/research/crawley/statistics/)
14:24:32	3409/3409	---M-Z	200	added ('OK')	text/html	etag:%223778945ec73fd01:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/data.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/data.html	(from http://www.bio.ic.ac.uk/research/crawley/statistics/)
14:24:33	4418/4418	---M-Z	200	added ('OK')	text/html	etag:%2213cadd86c43fd01:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises.html	(from http://www.bio.ic.ac.uk/research/crawley/statistics/)
14:24:34	4383/4383	---M-Z	200	added ('OK')	text/html	etag:%2229f472fdc63fd01:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/execode.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/execode.html	(from http://www.bio.ic.ac.uk/research/crawley/statistics/)
14:24:39	58086/58086	---M--	200	added ('OK')	application/x-zip-compressed	etag:%22ab8f7aaa93fd01:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/data/zipped.zip	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/data/zipped.zip	(from http://www.bio.ic.ac.uk/research/crawley/statistics/data.htm)
14:24:43	153116/153116	---M--	200	added ('OK')	application/pdf	etag:%221c556f965125c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R1Plots.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R1Plots.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:24:46	202622/202622	---M--	200	added ('OK')	application/pdf	etag:%22e647d1a5325c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R2Calculations.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R2Calculations.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:24:50	214699/214699	---M--	200	added ('OK')	application/pdf	etag:%22b16a59bd5125c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R3Statistics.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R3Statistics.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:24:54	216017/216017	---M--	200	added ('OK')	application/pdf	etag:%226f96aad65125c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R4Regression.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R4Regression.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:24:57	206230/206230	---M--	200	added ('OK')	application/pdf	etag:%22b94ed8f75125c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R5Anova.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R5Anova.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:25:02	225756/225756	---M--	200	added ('OK')	application/pdf	etag:%22809f9d75225c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R6Ancova.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R6Ancova.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:25:12	372507/372507	---M--	200	added ('OK')	application/pdf	etag:%222543de335225c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R7Nesteddesigns.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R7Nesteddesigns.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:25:13	213241/213241	---M--	200	added ('OK')	application/pdf	etag:%22c4c3176b5225c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R9Glims.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R9Glims.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:25:13	288725/288725	---M--	200	added ('OK')	application/pdf	etag:%22250de525225c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R8Multipleregression.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R8Multipleregression.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
14:25:24	223911/223911	---M--	200	added ('OK')	application/pdf	etag:%224cdb7f8a5225c51:0%22	http://www.bio.ic.ac.uk/research/crawley/statistics/exercises/R10Proportiondata.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/crawley/www.bio.ic.ac.uk/research/crawley/statistics/exercises/R10Proportiondata.pdf	(from http://www.bio.ic.ac.uk/research/crawley/statistics/exercises.htm)
