date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:01	69252/69252	U-----	200	untouched ('OK')	text/html	etag:W/%2210e84-62cfebe50a4cd%22	https://www.southampton.ac.uk/~cpd/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/index.html	(from )
14:43:01	71715/71715	U-----	200	untouched ('OK')	text/html	etag:W/%2211823-61c42689c69e4%22	https://www.southampton.ac.uk/~cpd/anovas/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/index.html	(from )
14:43:01	838/838	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2267d29f16-15a9%22	https://www.southampton.ac.uk/robots.txt		(from )
14:43:32	2705/2705	U-----	200	untouched ('')	text/plain	etag:W/%22a91-56dce791b3a00%22	https://www.southampton.ac.uk/~cpd/Sample%20mean%20and%20CI%20with%20plotmeans.R	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/Sample%20mean%20and%20CI%20with%20plotmeans.R	(from https://www.southampton.ac.uk/~cpd/)
14:43:32	30373/30373	U-----	200	untouched ('OK')	text/html	etag:W/%2276a5-56dce790ff775%22	https://www.southampton.ac.uk/~cpd/term.html	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/term.html	(from https://www.southampton.ac.uk/~cpd/)
14:43:32	38601/38601	U-----	200	untouched ('OK')	text/html	etag:W/%2296c9-56dce791f865a%22	https://www.southampton.ac.uk/~cpd/mean2.html	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/mean2.html	(from https://www.southampton.ac.uk/~cpd/)
14:43:33	87091/87091	U-----	200	untouched ('OK')	text/html	etag:W/%2215433-61c4275aa1598%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/index.html	(from https://www.southampton.ac.uk/~cpd/)
14:43:33	111444/111444	U-----	200	untouched ('OK')	text/html	etag:W/%221b354-61c42bb0d0d4b%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/Orthogonal%20contrasts.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/Orthogonal%20contrasts.html	(from https://www.southampton.ac.uk/~cpd/)
14:43:33	14114/14114	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267d29f15-3722%22	https://www.southampton.ac.uk/~cpd/anovas/index_files/editdata.mso	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/index_files/editdata.18.delayed	(from https://www.southampton.ac.uk/~cpd/anovas/)
14:43:34	37644/37644	U-----	200	untouched ('OK')	text/html	etag:W/%22930c-5f0830f3d49b3%22	https://www.southampton.ac.uk/~cpd/anovas/datasets/Power.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/doncaster/www.southampton.ac.uk/_cpd/anovas/datasets/Power.html	(from https://www.southampton.ac.uk/~cpd/)
