A	B	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8
1	1	5.7337	0.1764	2.1024	1.1314	3.3183	1.4721	0.2474	1.2411
1	1	5.3192	1.1106	2.5362	1.3115	2.5451	0.3957	1.7203	1.3419
1	2	5.9372	1.4972	7.5387	5.0930	8.3304	6.1040	8.8462	8.7013
1	2	5.4137	0.7646	6.5774	5.7946	9.5124	5.7264	8.9788	8.6669
2	1	5.7085	5.3218	2.6092	2.3283	2.4552	5.7716	4.3090	4.2463
2	1	5.4576	5.1872	2.8321	2.8571	2.6713	4.8364	2.0933	5.0720
2	2	5.7340	5.2312	6.5402	6.2666	4.4558	5.4723	6.4203	4.1774
2	2	5.4731	5.2725	6.5428	5.8069	5.4356	5.5179	7.3639	5.0964
3	1	4.7645	9.4146	2.5460	4.3336	1.7907	9.0624	6.2963	9.4765
3	1	5.6968	9.4135	2.2342	4.5636	1.0416	8.8608	6.2108	9.9858
3	2	5.5372	9.2539	7.1767	8.2476	3.1919	4.0543	2.9512	1.1049
3	2	6.0335	9.1106	7.6754	8.7781	2.5121	3.4816	2.6017	0.2041
