A	 C	 D	B	 E	 F	 G	 Y
1	 2	 0	1	 1	 1	 0	 4.5924
1	 2	 0	1	 1	 1	 0	-0.5488
1	 2	 0	2	 1	-1	 0	 6.1605
1	 2	 0	2	 1	-1	 0	 2.3374
1	 2	 0	3	-1	 0	 1	 5.1873
1	 2	 0	3	-1	 0	 1	 3.3579
1	 2	 0	4	-1	 0	-1	 6.3092
1	 2	 0	4	-1	 0	-1	 3.2831
2	-1	 1	1	 1	 1	 0	 7.3809
2	-1	 1	1	 1	 1	 0	 9.2085
2	-1	 1	2	 1	-1	 0	13.1147
2	-1	 1	2	 1	-1	 0	15.2654
2	-1	 1	3	-1	 0	 1	12.4188
2	-1	 1	3	-1	 0	 1	14.3951
2	-1	 1	4	-1	 0	-1	 8.5986
2	-1	 1	4	-1	 0	-1	 3.4945
3	-1	-1	1	 1	 1	 0	21.3220
3	-1	-1	1	 1	 1	 0	25.0426
3	-1	-1	2	 1	-1	 0	22.6600
3	-1	-1	2	 1	-1	 0	24.1283
3	-1	-1	3	-1	 0	 1	16.5927
3	-1	-1	3	-1	 0	 1	10.2129
3	-1	-1	4	-1	 0	-1	 9.8934
3	-1	-1	4	-1	 0	-1	10.0203
