S	A	 C	 D	B	  Y
1	1	 2	 0	1	  4.5924
2	1	 2	 0	1	 -0.5488
3	1	 2	 0	1	  6.1605
4	1	 2	 0	1	  2.3374
1	1	 2	 0	2	  5.1873
2	1	 2	 0	2	  3.3579
3	1	 2	 0	2	  6.3092
4	1	 2	 0	2	  3.2831
1	2	-1	 1	1	  7.3809
2	2	-1	 1	1	  9.2085
3	2	-1	 1	1	 13.1147
4	2	-1	 1	1	 15.2654
1	2	-1	 1	2	 12.4188
2	2	-1	 1	2	 14.3951
3	2	-1	 1	2	  8.5986
4	2	-1	 1	2	  3.4945
1	3	-1	-1	1	 21.3220
2	3	-1	-1	1	 25.0426
3	3	-1	-1	1	 22.6600
4	3	-1	-1	1	 24.1283
1	3	-1	-1	2	 16.5927
2	3	-1	-1	2	 10.2129
3	3	-1	-1	2	  9.8934
4	3	-1	-1	2	 10.0203
