S	A	B	C	Y
1	1	1	1	-3.8558
2	1	1	1	 4.4076
1	1	1	2	-4.1752
2	1	1	2	 1.4913
1	1	2	1	 5.9699
2	1	2	1	 5.2141
1	1	2	2	 9.1467
2	1	2	2	 5.8209
1	2	1	1	 9.4082
2	2	1	1	 6.0296
1	2	1	2	15.3014
2	2	1	2	12.1900
1	2	2	1	 6.9754
2	2	2	1	14.3012
1	2	2	2	10.4266
2	2	2	2	 2.3707
1	3	1	1	19.1834
2	3	1	1	18.3855
1	3	1	2	23.3385
2	3	1	2	21.9134
1	3	2	1	16.4482
2	3	2	1	11.6765
1	3	2	2	17.9727
2	3	2	2	15.1760
3	1	1	1	 1.6092
4	1	1	1	-0.8717
3	1	1	2	-3.3315
4	1	1	2	-0.9298
3	1	2	1	 7.1962
4	1	2	1	 6.6215
3	1	2	2	 4.8174
4	1	2	2	 0.6114
3	2	1	1	 8.4111
4	2	1	1	 8.8944
3	2	1	2	13.9123
4	2	1	2	11.5584
3	2	2	1	13.8318
4	2	2	1	 6.6577
3	2	2	2	12.4861
4	2	2	2	 4.5600
3	3	1	1	16.9834
4	3	1	1	18.1502
3	3	1	2	22.8108
4	3	1	2	26.0103
3	3	2	1	19.3879
4	3	2	1	12.7458
3	3	2	2	16.5695
4	3	2	2	16.3987
