S	A	B	 C	 D	E	 Y
1	1	1	 2	 0	1	 8.524
2	1	1	 2	 0	1	 7.444
3	1	1	 2	 0	1	 6.877
1	1	1	 2	 0	2	16.597
2	1	1	 2	 0	2	15.260
3	1	1	 2	 0	2	15.870
1	1	1	 2	 0	3	21.229
2	1	1	 2	 0	3	19.397
3	1	1	 2	 0	3	19.276
1	1	2	-1	 1	1	 9.068
2	1	2	-1	 1	1	 7.939
3	1	2	-1	 1	1	 6.370
1	1	2	-1	 1	2	15.739
2	1	2	-1	 1	2	12.980
3	1	2	-1	 1	2	13.759
1	1	2	-1	 1	3	21.121
2	1	2	-1	 1	3	15.559
3	1	2	-1	 1	3	19.113
1	1	3	-1	-1	1	 8.671
2	1	3	-1	-1	1	 7.726
3	1	3	-1	-1	1	 8.270
1	1	3	-1	-1	2	13.037
2	1	3	-1	-1	2	11.683
3	1	3	-1	-1	2	11.786
1	1	3	-1	-1	3	14.705
2	1	3	-1	-1	3	15.109
3	1	3	-1	-1	3	15.267
1	2	1	 2	 0	1	 9.206
2	2	1	 2	 0	1	 8.915
3	2	1	 2	 0	1	 8.876
1	2	1	 2	 0	2	18.118
2	2	1	 2	 0	2	15.513
3	2	1	 2	 0	2	20.010
1	2	1	 2	 0	3	19.519
2	2	1	 2	 0	3	21.530
3	2	1	 2	 0	3	21.710
1	2	2	-1	 1	1	 8.231
2	2	2	-1	 1	1	 9.062
3	2	2	-1	 1	1	 9.162
1	2	2	-1	 1	2	14.448
2	2	2	-1	 1	2	14.993
3	2	2	-1	 1	2	15.362
1	2	2	-1	 1	3	16.046
2	2	2	-1	 1	3	17.364
3	2	2	-1	 1	3	22.544
1	2	3	-1	-1	1	 8.455
2	2	3	-1	-1	1	 9.178
3	2	3	-1	-1	1	 9.086
1	2	3	-1	-1	2	12.847
2	2	3	-1	-1	2	13.456
3	2	3	-1	-1	2	12.531
1	2	3	-1	-1	3	14.424
2	2	3	-1	-1	3	15.277
3	2	3	-1	-1	3	13.434
