S	A	B	C	Su	Fa	      Fr
1	1	1	1	15	58	0.470462
2	1	1	1	10	76	0.347977
1	1	1	2	17	52	0.519405
2	1	1	2	19	13	0.879706
1	1	2	1	26	99	0.473574
2	1	2	1	21	41	0.621171
1	1	2	2	14	67	0.428756
2	1	2	2	12	 9	0.857072
1	2	1	1	10	82	0.335975
2	2	1	1	12	96	0.339837
1	2	1	2	30	14	0.971482
2	2	1	2	32	 1	1.395827
1	2	2	1	37	54	0.691440
2	2	2	1	30	12	1.006854
1	2	2	2	32	66	0.608246
2	2	2	2	37	 7	1.160521
1	3	1	1	18	34	0.629015
2	3	1	1	18	55	0.519635
1	3	1	2	23	85	0.479662
2	3	1	2	21	34	0.666087
1	3	2	1	24	82	0.495909
2	3	2	1	27	65	0.572501
1	3	2	2	37	27	0.863845
2	3	2	2	37	60	0.665701
