Site	 Shore	Recruit	Trtmnt	Density
Cowes	 1	High	 2	0.386
Cowes	 1	High	 2	0.397
Cowes	 1	High	 2	0.432
Cowes	 1	High	 8	0.484
Cowes	 1	High	 8	0.482
Cowes	 1	High	 8	0.514
Cowes	 1	High	32	0.484
Cowes	 1	High	32	0.520
Cowes	 1	High	32	0.569
Seaview	 2	High	 2	0.279
Seaview	 2	High	 2	0.411
Seaview	 2	High	 2	0.260
Seaview	 2	High	 8	0.625
Seaview	 2	High	 8	0.531
Seaview	 2	High	 8	0.478
Seaview	 2	High	32	0.738
Seaview	 2	High	32	0.570
Seaview	 2	High	32	0.620
Totland	 1	Low	 2	0.190
Totland	 1	Low	 2	0.177
Totland	 1	Low	 2	0.300
Totland	 1	Low	 8	0.268
Totland	 1	Low	 8	0.261
Totland	 1	Low	 8	0.396
Totland	 1	Low	32	0.384
Totland	 1	Low	32	0.319
Totland	 1	Low	32	0.334
Ventnor	 2	Low	 2	0.304
Ventnor	 2	Low	 2	0.302
Ventnor	 2	Low	 2	0.278
Ventnor	 2	Low	 8	0.402
Ventnor	 2	Low	 8	0.351
Ventnor	 2	Low	 8	0.254
Ventnor	 2	Low	32	0.244
Ventnor	 2	Low	32	0.401
Ventnor	 2	Low	32	0.324
