date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:20	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2009:16:20%20GMT	https://biostat.jhsph.edu/robots.txt		(from )
16:16:22	1338/1338	U-----	200	untouched ('OK')	text/html	date:Mon,%2016%20Dec%202024%2009:22:01%20GMT	https://biostat.jhsph.edu/~iruczins/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/index.html	(from )
16:16:27	778/778	U-----	200	untouched ('OK')	text/html	date:Mon,%2025%20Sep%202023%2016:16:40%20GMT	https://biostat.jhsph.edu/~iruczins/html/contact.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/html/contact.html	(from https://biostat.jhsph.edu/~iruczins/)
16:16:27	1199/1199	U-----	200	untouched ('OK')	text/html	date:Tue,%2001%20Mar%202022%2015:40:42%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/index.html	(from https://biostat.jhsph.edu/~iruczins/)
16:16:28	136701/136701	U-----	200	untouched ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:35:00%20GMT	https://biostat.jhsph.edu/~iruczins/publications/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/publications/index.html	(from https://biostat.jhsph.edu/~iruczins/)
16:16:28	2746/2746	U-----	200	untouched ('OK')	text/html	date:Tue,%2005%20Apr%202022%2016:31:59%20GMT	https://biostat.jhsph.edu/~iruczins/software/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/software/index.html	(from https://biostat.jhsph.edu/~iruczins/)
16:16:29	304/304	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Feb%202025%2009:16:29%20GMT	http://www.uv.es/bernardo/bayes9.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/www.uv.es/bernardo/bayes9.7.delayed	(from https://biostat.jhsph.edu/~iruczins/publications/)
16:16:29	5403/5403	U-----	200	untouched ('OK')	text/html	date:Thu,%2020%20Jul%202017%2008:42:24%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/kogo/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/kogo/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:30	12284/12284	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:54:23%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:35	8795/8795	U-----	200	untouched ('OK')	text/html	date:Wed,%2021%20Dec%202005%2014:03:39%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/140.752/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/140.752/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:35	8626/8626	U-----	200	untouched ('OK')	text/html	date:Wed,%2026%20Oct%202005%2022:31:58%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/140.751/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/140.751/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:35	8135/8135	U-----	200	untouched ('OK')	text/html	date:Tue,%2008%20Dec%202015%2017:28:06%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/140.652/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/140.652/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:36	5487/5487	U-----	200	untouched ('OK')	text/html	date:Tue,%2016%20Mar%202010%2011:44:12%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/390.672/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/390.672/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:42	1666/1666	U-----	200	untouched ('OK')	text/html	date:Wed,%2026%20Feb%202025%2015:00:29%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/140.615/	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/140.615/index.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:42	1084/1084	U-----	200	untouched ('OK')	text/html	date:Mon,%2007%20Dec%202009%2001:29:18%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/misc/misc.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/misc/misc.html	(from https://biostat.jhsph.edu/~iruczins/teaching/)
16:16:42	1379/1379	U-----	200	untouched ('OK')	text/html	date:Fri,%2014%20May%202021%2014:21:25%20GMT	https://biostat.jhsph.edu/~iruczins/software/phi.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/software/phi.html	(from https://biostat.jhsph.edu/~iruczins/software/)
16:16:43	1009/1009	U-----	200	untouched ('OK')	text/html	date:Tue,%2001%20Mar%202022%2014:52:02%20GMT	https://biostat.jhsph.edu/~iruczins/software/rosetta.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/software/rosetta.html	(from https://biostat.jhsph.edu/~iruczins/software/)
16:16:43	326/326	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2028%20Feb%202025%2009:16:43%20GMT	http://cran.r-project.org/doc/manuals/R-intro.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/cran.r-project.org/doc/manuals/R-intro.67.delayed	(from https://biostat.jhsph.edu/~iruczins/teaching/140.751/)
16:16:43	53745/53745	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:53:57%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/files/AT_pH5.tab	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/files/AT_pH5.html	(from https://biostat.jhsph.edu/~iruczins/teaching/260.655/)
16:16:43	2079/2079	U-----	200	untouched ('OK')	text/html	date:Thu,%2020%20Jul%202017%2004:25:51%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/kogo/html/materials.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/kogo/html/materials.html	(from https://biostat.jhsph.edu/~iruczins/teaching/kogo/)
16:16:49	57149/57149	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:53:57%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/files/AT_pH7.tab	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/files/AT_pH7.html	(from https://biostat.jhsph.edu/~iruczins/teaching/260.655/)
16:16:49	67574/67574	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:53:57%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/files/AT_pH7_5.tab	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/files/AT_pH7_5.html	(from https://biostat.jhsph.edu/~iruczins/teaching/260.655/)
16:16:49	8178/8178	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:54:23%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/links/l.ir1.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/links/l.ir1.html	(from https://biostat.jhsph.edu/~iruczins/teaching/260.655/)
16:16:49	2919/2919	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:54:23%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/links/l.ir2.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/links/l.ir2.html	(from https://biostat.jhsph.edu/~iruczins/teaching/260.655/)
16:16:55	3304/3304	U-----	200	untouched ('OK')	text/html	date:Tue,%2018%20May%202010%2020:54:23%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/260.655/links/l.ir3.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/260.655/links/l.ir3.html	(from https://biostat.jhsph.edu/~iruczins/teaching/260.655/)
16:16:55	3067/3067	U-----	200	untouched ('OK')	text/html	date:Tue,%2008%20Dec%202015%2017:28:10%20GMT	https://biostat.jhsph.edu/~iruczins/teaching/140.652/code/code.html	/media/tuhocr/CLOUD1/TURTLE/meadow/iruczins/biostat.jhsph.edu/_iruczins/teaching/140.652/code/code.html	(from https://biostat.jhsph.edu/~iruczins/teaching/140.652/)
