date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:19:05	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2009:19:05%20GMT	https://www.medicine.mcgill.ca/robots.txt		(from )
16:19:06	10041/10041	U--M-Z	200	updated ('OK')	text/html	etag:%22cd1125bc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/index.html	(from )
16:19:07	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2009:19:07%20GMT	https://www.medicine.mcgill.ca/epidemiology/Joseph/Courses-Taught.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/Courses-Taught.13.delayed	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:23	13615/13615	U-----	200	untouched ('OK')	text/html	etag:%2286cdfbc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/SiteMap.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/SiteMap.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:24	12144/12144	U-----	200	untouched ('OK')	text/html	etag:%229dc072bc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/Research-Interests.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/Research-Interests.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:26	26155/26155	U-----	200	untouched ('OK')	text/html	etag:%222a3771bd1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:26	12820/12820	U-----	200	untouched ('OK')	text/html	etag:%22b3b74fbd1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-607/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-607/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:42	14407/14407	U-----	200	untouched ('OK')	text/html	etag:%2292ea1dbc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-621/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:42	10225/10225	U-----	200	untouched ('OK')	text/html	etag:%22965e90bc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-651/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-651/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:43	13500/13500	U-----	200	untouched ('OK')	text/html	etag:%22f935a8bc1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-668/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-668/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:43	12543/12543	U-----	200	untouched ('OK')	text/html	etag:%225cce21bd1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-669/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-669/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:43	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2009:19:43%20GMT	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/admissions.dta	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/admissions.4e.delayed	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/main.html)
16:19:44	13966/13966	U-----	200	untouched ('OK')	text/html	etag:%225bc17abd1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-675/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-675/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:45	16815/16815	U-----	200	untouched ('OK')	text/html	etag:%22fbe655bb1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/publications/Methodological/Bayesian-Sample-Size.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/publications/Methodological/Bayesian-Sample-Size.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:45	12914/12914	U-----	200	untouched ('OK')	text/html	etag:%2241d48dbd1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-682/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-682/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
16:19:45	103/103	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2009:19:44%20GMT	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/agemort.dta	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/agemort.4f.delayed	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-613/main.html)
16:19:46	12550/12550	U-----	200	untouched ('OK')	text/html	etag:%2263e881bd1747d51:0%22	https://www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-683/main.html	/media/tuhocr/CLOUD1/TURTLE/meadow/joseph/www.medicine.mcgill.ca/epidemiology/Joseph/courses/EPIB-683/main.html	(from https://www.medicine.mcgill.ca/epidemiology/Joseph/index.html)
