  x[]    y[]    z[]
  3.38 -147.41 6.40
  1.73  151.35 5.48
  4.15  -63.54 5.25
  1.97   26.50 2.83
  4.03 -150.50 6.01
  2.50   85.07 4.43
  2.39   82.66 4.27
  2.13  223.62 5.94
  3.41  -45.73 4.36
  4.94   26.04 2.81
  1.58  199.44 6.28
  1.61   30.99 3.21
  2.64  181.91 6.10
  3.22  -34.85 5.41
  3.28  -72.51 5.82
  1.97  334.14 6.90
  4.45   87.89 6.18
  1.86  124.12 4.98
  2.04   31.14 2.98
  3.68  -62.98 4.18
  1.59  106.37 5.03
  4.37   11.33 3.77
  2.47  242.44 6.32
  1.53  107.06 5.13
  1.13   53.15 4.71
  1.82  151.66 5.38
  3.66  -89.19 4.68
  1.91  336.48 6.98
  3.33  -11.60 3.21
  2.95   37.14 4.86
  2.83   60.69 4.79
  2.92   66.20 5.67
  2.83   45.05 4.28
  2.45  248.86 6.35
  1.63  105.00 4.95
  1.99  103.35 4.59
  2.63   58.38 4.08
  1.74   54.74 3.82
  3.38  -78.76 5.26
  1.79  211.25 6.08
  3.80 -141.18 5.37
  3.17   -4.78 3.96
  2.77   33.70 3.64
  1.29   66.43 4.74
  4.07  -79.84 5.09
  2.92   20.87 3.59
  3.26  -14.72 3.84
  3.32  -28.40 4.18
  3.11   -1.48 5.70
  1.70   77.72 4.37
  3.84 -110.54 4.99
  2.87   69.56 5.32
  2.22  113.86 4.70
  1.87  180.40 5.66
  3.93  -38.68 3.69
  5.49  -21.44 3.68
  2.07  163.96 5.35
  0.18    3.12 2.09
  4.50   30.42 3.73
  2.72  159.79 6.12
  3.59  -99.19 4.95
  2.72   92.78 5.07
  5.08   74.09 4.45
  2.71   26.28 3.19
  3.51 -145.52 5.80
  3.34  -29.90 4.11
  4.94  179.71 5.57
  2.46   65.33 3.99
  4.16  -68.34 5.48
  2.48  228.53 6.21
  3.90  -29.02 3.35
  4.04  -69.67 4.74
  2.19   67.02 3.90
  3.47  -67.82 4.68
  3.26 -100.49 6.73
  2.91   49.99 4.96
  3.05    9.63 3.71
  2.44  189.52 5.77
  3.84  -63.75 4.20
  3.43 -132.28 5.93
  5.02  107.91 4.84
  2.22  119.86 4.79
  4.92  185.90 5.62
  3.66  -40.66 3.66
  2.73   38.75 3.72
  2.60  110.07 5.03
  3.00   21.39 4.40
  2.87   40.92 4.34
  2.82   23.27 3.33
  3.19  -33.94 5.81
  2.57  102.04 4.83
  4.49   48.19 4.49
  2.66   48.46 3.88
  4.02  -69.31 4.67
  2.54  123.85 5.11
  3.05   12.11 4.35
  4.81   54.33 3.63
  3.94 -116.44 5.24
  4.30   -9.18 5.76
  3.53  -54.75 4.22

