date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:08	209/209	---M--	302	error ('Found')	text/html	date:Tue,%2004%20Mar%202025%2006:31:07%20GMT	https://www.itl.nist.gov/robots.txt		(from )
13:31:09	773/773	---M--	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2006:31:08%20GMT	https://www.itl.nist.gov/div898/handbook/	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/index.html	(from )
13:31:10	29110/29110	---MCZ	200	added ('OK')	application/javascript	etag:W/%229bf04bc1c456a3638a30e0b87ed41999%22	https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=DOC&subagency=NIST&pua=UA-37115410-50&yt=true&exts=ppsx,pps,f90,sch,rtf,wrl,txz,m1v,xlsm,msi,xsd,f,tif,eps,mpg,xml,pl,xlt,c	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/dap.digitalgov.gov/Universal-Federated-Analytics-Min91b7.js	(from https://www.itl.nist.gov/div898/handbook/)
13:31:11	2290/2290	---M--	200	added ('OK')	text/html	etag:%228f2-5e5d0ed948bdc%22	https://www.itl.nist.gov/div898/handbook/navi.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/navi.html	(from https://www.itl.nist.gov/div898/handbook/)
13:31:12	3057/3057	---M--	200	added ('OK')	text/html	etag:%22bf1-5e5d0ed92e9e2%22	https://www.itl.nist.gov/div898/handbook/index2.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/index2.html	(from https://www.itl.nist.gov/div898/handbook/)
13:31:12	1602/1602	---M--	200	added ('OK')	image/gif	etag:%22642-562829b93c2f2%22	https://www.itl.nist.gov/div898/handbook/gifs/nstsmtch.gif	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/gifs/nstsmtch.gif	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:14	15411/15411	---M--	200	added ('OK')	image/gif	etag:%223c33-562829b936143%22	https://www.itl.nist.gov/div898/handbook/gifs/hm1.gif	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/gifs/hm1.gif	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:14	7234/7234	---M--	200	added ('OK')	text/html	etag:%221c42-5e5d0ed98d580%22	https://www.itl.nist.gov/div898/handbook/stoc.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/stoc.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:15	5634/5634	---M--	200	added ('OK')	text/html	etag:%221602-5e5d11656247a%22	https://www.itl.nist.gov/div898/handbook/eda/eda.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/eda/eda.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:16	5818/5818	---M--	200	added ('OK')	text/html	etag:%2216ba-5e5d2c8cedd8a%22	https://www.itl.nist.gov/div898/handbook/mpc/mpc.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/mpc/mpc.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:18	5546/5546	---M--	200	added ('OK')	text/html	etag:%2215aa-5e5d32830056a%22	https://www.itl.nist.gov/div898/handbook/ppc/ppc.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/ppc/ppc.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:18	5924/5924	---M--	200	added ('OK')	text/html	etag:%221724-5e5d2efb807bb%22	https://www.itl.nist.gov/div898/handbook/pmd/pmd.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmd/pmd.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:19	8842/8842	---M--	200	added ('OK')	text/html	etag:%22228a-5e5d35726a62e%22	https://www.itl.nist.gov/div898/handbook/pri/pri.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pri/pri.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:21	6365/6365	---M--	200	added ('OK')	text/html	etag:%2218dd-5de0d0a6465e9%22	https://www.itl.nist.gov/div898/handbook/pmc/pmc.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/pmc/pmc.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:21	6243/6243	---M--	200	added ('OK')	text/html	etag:%221863-5e5d3490966a8%22	https://www.itl.nist.gov/div898/handbook/prc/prc.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/prc/prc.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:22	6184/6184	---M--	200	added ('OK')	text/html	etag:%221828-5e5d0fc18ef73%22	https://www.itl.nist.gov/div898/handbook/apr/apr.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/apr/apr.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:24	122288/122288	---M--	200	added ('OK')	text/html	etag:%221ddb0-5e5d0ed8d8aea%22	https://www.itl.nist.gov/div898/handbook/dtoc.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/dtoc.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:25	3805/3805	---M--	200	added ('OK')	text/html	etag:%22edd-5e5d0ed97914b%22	https://www.itl.nist.gov/div898/handbook/search.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/search.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:26	22174/22174	---M--	200	added ('OK')	text/html	etag:%22569e-5e5d0ed858c0c%22	https://www.itl.nist.gov/div898/handbook/acknwldg.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/acknwldg.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:26	4346/4346	---M--	200	added ('OK')	text/html	etag:%2210fa-5e5d0ed998931%22	https://www.itl.nist.gov/div898/handbook/toolaids.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/toolaids.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:27	7698/7698	---M--	200	added ('OK')	text/html	etag:%221e12-5e5d0ed91a1c5%22	https://www.itl.nist.gov/div898/handbook/howto.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/howto.html	(from https://www.itl.nist.gov/div898/handbook/navi.htm)
13:31:28	209/209	---M--	302	error ('Found')	text/html	date:Tue,%2004%20Mar%202025%2006:31:28%20GMT	https://www.itl.nist.gov/fsrscripts/triggerParams.js	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/fsrscripts/triggerParams.13.delayed	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:29	209/209	---M--	302	error ('Found')	text/html	date:Tue,%2004%20Mar%202025%2006:31:29%20GMT	https://www.itl.nist.gov/fsrscripts/stdLauncher.js	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/fsrscripts/stdLauncher.14.delayed	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:30	2687/2687	---M--	200	added ('OK')	text/css	etag:%22a7f-5de09c425cc31%22	https://www.itl.nist.gov/div898/handbook/nist-header-footer/css/nist-combined.css	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/nist-header-footer/css/nist-combined.css	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:32	93068/93068	---M--	200	added ('OK')	application/javascript	etag:%2216b8c-5de09c48e3286%22	https://www.itl.nist.gov/div898/handbook/nist-header-footer/js/jquery-1.9.0.min.js	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/nist-header-footer/js/jquery-1.9.0.min.js	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:33	660/660	---M--	200	added ('OK')	application/javascript	etag:%22294-5de0b84ca2530%22	https://www.itl.nist.gov/div898/handbook/nist-header-footer/js/nist-header-footer.js	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/nist-header-footer/js/nist-header-footer.js	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:34	16766/16766	---M--	200	added ('OK')	image/gif	etag:%22417e-562829b939027%22	https://www.itl.nist.gov/div898/handbook/gifs/hm2.gif	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/gifs/hm2.gif	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:35	83829/83829	---M--	200	added ('OK')	text/html	etag:%2214775-621c542e18c73%22	https://www.itl.nist.gov/div898/handbook/changes.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/changes.html	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:36	7152/7152	---M--	200	added ('OK')	text/html	etag:%221bf0-56282a359078c%22	https://www.itl.nist.gov/div898/handbook/toolaids/pff/index.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/toolaids/pff/index.html	(from https://www.itl.nist.gov/div898/handbook/index2.htm)
13:31:36	7571/7571	---M--	200	added ('OK')	image/gif	etag:%221d93-562829b941cd2%22	https://www.itl.nist.gov/div898/handbook/gifs/nvgtbr.gif	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/gifs/nvgtbr.gif	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:38	773/773	---M--	200	added ('OK')	text/html	etag:%22305-5e5d0ed922a7a%22	https://www.itl.nist.gov/div898/handbook/index.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/index-2.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:39	4246/4246	---M--	200	added ('OK')	text/html	etag:%221096-5e5d11659be54%22	https://www.itl.nist.gov/div898/handbook/eda/section1/eda1.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/eda/section1/eda1.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:40	3771/3771	---M--	200	added ('OK')	text/html	etag:%22ebb-615d3a681ae80%22	https://www.itl.nist.gov/div898/handbook/eda/section2/eda2.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/eda/section2/eda2.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:40	3755/3755	---M--	200	added ('OK')	text/html	etag:%22eab-615d39178c42c%22	https://www.itl.nist.gov/div898/handbook/eda/section3/eda3.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/eda/section3/eda3.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:41	3588/3588	---M--	200	added ('OK')	text/html	etag:%22e04-615d3b5de9982%22	https://www.itl.nist.gov/div898/handbook/eda/section4/eda4.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/eda/section4/eda4.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:42	3368/3368	---M--	200	added ('OK')	text/html	etag:%22d28-615d4292eedc9%22	https://www.itl.nist.gov/div898/handbook/mpc/section1/mpc1.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/mpc/section1/mpc1.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:44	4266/4266	---M--	200	added ('OK')	text/html	etag:%2210aa-616288d7381b4%22	https://www.itl.nist.gov/div898/handbook/mpc/section2/mpc2.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/mpc/section2/mpc2.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:44	6039/6039	---M--	200	added ('OK')	text/html	etag:%221797-616289c6920bb%22	https://www.itl.nist.gov/div898/handbook/mpc/section3/mpc3.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/mpc/section3/mpc3.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
13:31:45	4174/4174	---M--	200	added ('OK')	text/html	etag:%22104e-61628b1b53761%22	https://www.itl.nist.gov/div898/handbook/mpc/section4/mpc4.htm	/media/tuhocr/CLOUD1/TURTLE/meadow/nist/www.itl.nist.gov/div898/handbook/mpc/section4/mpc4.html	(from https://www.itl.nist.gov/div898/handbook/stoc.htm)
