date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:58	1024/1024	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:17:58%20GMT	https://gattonweb.uky.edu/sheather/book/index.php	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/index.html	(from )
16:18:00	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Feb%202025%2009:17:59%20GMT	https://gattonweb.uky.edu/robots.txt		(from )
16:18:01	68049/68049	---M--	200	added ('OK')	image/jpeg	etag:%228080f1624b44c91:0%22	https://gattonweb.uky.edu/sheather/book/sheatherbook.JPG	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/sheatherbook.jpg	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:02	1039/1039	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:18:02%20GMT	https://gattonweb.uky.edu/sheather/book/order.php	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/order.html	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:04	6556/6556	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:18:04%20GMT	https://gattonweb.uky.edu/sheather/book/data_sets.php	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/data_sets.html	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:05	1804/1804	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:18:05%20GMT	https://gattonweb.uky.edu/sheather/book/r_code.php	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/r_code.html	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:07	1702/1702	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:18:07%20GMT	https://gattonweb.uky.edu/sheather/book/sas_code.php	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/sas_code.html	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:08	908/908	---M--	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2009:18:08%20GMT	https://gattonweb.uky.edu/sheather/book/stata_code.php	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/stata_code.html	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:10	48708/48708	---M--	200	added ('OK')	application/pdf	etag:%2205da7f9d8d4ca1:0%22	https://gattonweb.uky.edu/sheather/book/docs/Errata.pdf	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/Errata.pdf	(from https://gattonweb.uky.edu/sheather/book/index.php)
16:18:12	116937/116937	---M--	200	added ('OK')	application/x-zip-compressed	etag:%2280ee740c5c2c91:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/Data.zip	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/Data.zip	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
16:18:12	4222/4222	---M--	200	added ('OK')	application/octet-stream	etag:%220ecabaab6c2c91:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/AdRevenue.csv	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/AdRevenue.csv	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
16:18:14	217/217	---M--	200	added ('OK')	text/plain	etag:%220b1da252f32c81:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/airfares.txt	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/airfares.txt	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
16:18:15	14437/14437	---M--	200	added ('OK')	text/plain	etag:%220c1de32b8c2c91:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/ais.txt	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/ais.txt	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
16:18:16	492/492	---M--	200	added ('OK')	text/plain	etag:%228023162b21c61:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/anscombe.txt	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/anscombe.txt	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
16:18:18	7008/7008	---M--	200	added ('OK')	text/plain	etag:%2280149d2cb9c2c91:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/banknote.txt	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/banknote.txt	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
16:18:19	537/537	---M--	200	added ('OK')	text/plain	etag:%220c0d5ccc73c61:0%22	https://gattonweb.uky.edu/sheather/book/docs/datasets/BayArea.txt	/media/tuhocr/CLOUD1/TURTLE/meadow/sheather/gattonweb.uky.edu/sheather/book/docs/datasets/BayArea.txt	(from https://gattonweb.uky.edu/sheather/book/data_sets.php)
