date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:42	36094/36094	U--M-Z	200	updated ('OK')	text/html	etag:%222492-62f7d35d03a1b%22	https://stats.oarc.ucla.edu/r/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/r/index.html	(from )
13:31:42	51020/51020	U--M-Z	200	updated ('OK')	text/html	etag:%222bd5-62f7d32a11159%22	https://stats.oarc.ucla.edu/other/dae/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/other/dae/index.html	(from )
13:31:42	116/116	U-----	200	untouched ('OK')	text/plain	date:Sat,%2001%20Mar%202025%2003:52:44%20GMT	https://stats.oarc.ucla.edu/robots.txt		(from )
13:31:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2006:31:42%20GMT	http://cdn.jsdelivr.net/jquery.slicknav/0.1/slicknav.css?ver=1	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/cdn.jsdelivr.net/jquery.slicknav/0.1/slicknav.468b3.delayed	(from https://stats.oarc.ucla.edu/r/)
13:31:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2006:31:43%20GMT	http://platform-api.sharethis.com/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/platform-api.sharethis.com/index.html	(from https://stats.oarc.ucla.edu/r/)
13:31:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2006:31:43%20GMT	http://cdn.jsdelivr.net/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/cdn.jsdelivr.net/index.html	(from https://stats.oarc.ucla.edu/r/)
13:31:43	1119/1119	U-----	200	untouched ('')	application/rss+xml	date:Mon,%2024%20Feb%202025%2004:59:50%20GMT	https://stats.oarc.ucla.edu/feed/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/feed/index.html	(from https://stats.oarc.ucla.edu/r/)
13:31:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2006:31:44%20GMT	http://cdn.jsdelivr.net/jquery.slicknav/0.1/jquery.slicknav.min.js?ver=1	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/cdn.jsdelivr.net/jquery.slicknav/0.1/jquery.slicknav.min.768b3.delayed	(from https://stats.oarc.ucla.edu/r/)
13:31:45	199/199	---M--	403	error ('Forbidden')	text/html	date:Tue,%2004%20Mar%202025%2006:31:45%20GMT	https://stats.oarc.ucla.edu/xmlrpc.php?rsd	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/xmlrpc0db0.php	(from https://stats.oarc.ucla.edu/r/)
13:31:46	199/199	---M--	403	error ('Forbidden')	text/html	date:Tue,%2004%20Mar%202025%2006:31:46%20GMT	https://stats.oarc.ucla.edu/xmlrpc.php	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/xmlrpc.php	(from https://stats.oarc.ucla.edu/r/)
13:31:47	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2004%20Mar%202025%2006:31:47%20GMT	https://stats.oarc.ucla.edu/favicon.ico	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/favicon.ico	(from https://stats.oarc.ucla.edu/r/)
13:31:48	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2006:31:48%20GMT	http://cdn.jsdelivr.net/npm/mathjax@3/es5/tex-chtml.js?ver=6.7.1	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/cdn.jsdelivr.net/npm/mathjax@3/es5/tex-chtml.159704.delayed	(from https://stats.oarc.ucla.edu/r/)
13:31:50	320442/320442	U--M-Z	200	updated ('OK')	application/json	date:Tue,%2004%20Mar%202025%2006:31:49%20GMT	https://stats.oarc.ucla.edu/wp-json/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/wp-json/index.html	(from https://stats.oarc.ucla.edu/r/)
13:31:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Mar%202025%2006:31:50%20GMT	http://cdn.jsdelivr.net/robots.txt		(from https://stats.oarc.ucla.edu/r/)
13:31:54	1013/1013	U-----	200	untouched ('')	application/rss+xml	date:Mon,%2024%20Feb%202025%2004:59:50%20GMT	https://stats.oarc.ucla.edu/comments/feed/	/media/tuhocr/CLOUD1/TURTLE/meadow/ucla/stats.oarc.ucla.edu/comments/feed/index.html	(from https://stats.oarc.ucla.edu/r/)
