HTTrack3.49-5 launched on Tue, 04 Mar 2025 13:31:40 at https://stats.oarc.ucla.edu/r/ https://stats.oarc.ucla.edu/other/dae/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/*
(webhttrack -q -%i -iC2 https://stats.oarc.ucla.edu/r/ https://stats.oarc.ucla.edu/other/dae/ -O "/media/tuhocr/CLOUD1/TURTLE/meadow/ucla" -n -%P -p7 -N0 -s2 -p7 -D -a -K0 -c4 -%k -A100000 -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -%s -%u )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

13:31:51	Warning: 	Moved Permanently for cdn.jsdelivr.net/robots.txt
13:31:51	Warning: 	Redirected link is identical because of 'URL Hack' option: cdn.jsdelivr.net/robots.txt and https://cdn.jsdelivr.net/robots.txt
13:31:51	Warning: 	Warning moved treated for cdn.jsdelivr.net/robots.txt (real one is https://cdn.jsdelivr.net/robots.txt)
13:31:54	Warning: 	Moved Permanently for cdn.jsdelivr.net/
13:31:54	Warning: 	Redirected link is identical because of 'URL Hack' option: cdn.jsdelivr.net/ and https://cdn.jsdelivr.net/
13:31:54	Warning: 	File has moved from cdn.jsdelivr.net/ to https://cdn.jsdelivr.net/
13:31:55	Warning: 	Moved Permanently for platform-api.sharethis.com/robots.txt
13:31:55	Warning: 	Redirected link is identical because of 'URL Hack' option: platform-api.sharethis.com/robots.txt and https://platform-api.sharethis.com/robots.txt
13:31:55	Warning: 	Warning moved treated for platform-api.sharethis.com/robots.txt (real one is https://platform-api.sharethis.com/robots.txt)
13:31:55	Warning: 	Moved Permanently for platform-api.sharethis.com/
13:31:55	Warning: 	Redirected link is identical because of 'URL Hack' option: platform-api.sharethis.com/ and https://platform-api.sharethis.com/
13:31:55	Warning: 	File has moved from platform-api.sharethis.com/ to https://platform-api.sharethis.com/
13:31:57	Error: 	"Forbidden" (403) at link https://stats.oarc.ucla.edu/xmlrpc.php?rsd (from https://stats.oarc.ucla.edu/r/)
13:32:03	Error: 	"Forbidden" (403) at link https://stats.oarc.ucla.edu/xmlrpc.php (from https://stats.oarc.ucla.edu/r/)
13:35:25	Warning: 	Moved Permanently for cdn.jsdelivr.net/
13:35:25	Warning: 	Redirected link is identical because of 'URL Hack' option: cdn.jsdelivr.net/ and https://cdn.jsdelivr.net/
13:35:25	Warning: 	File has moved from cdn.jsdelivr.net/ to https://cdn.jsdelivr.net/
13:35:26	Warning: 	Moved Permanently for platform-api.sharethis.com/
13:35:26	Warning: 	Redirected link is identical because of 'URL Hack' option: platform-api.sharethis.com/ and https://platform-api.sharethis.com/
13:35:26	Warning: 	File has moved from platform-api.sharethis.com/ to https://platform-api.sharethis.com/
13:36:10	Warning: 	Moved Permanently for platform-api.sharethis.com/js/sharethis.js
13:36:10	Warning: 	Redirected link is identical because of 'URL Hack' option: platform-api.sharethis.com/js/sharethis.js and https://platform-api.sharethis.com/js/sharethis.js
13:36:10	Warning: 	Warning moved treated for platform-api.sharethis.com/js/sharethis.js (real one is https://platform-api.sharethis.com/js/sharethis.js)
13:36:16	Error: 	"Forbidden" (403) at link https://stats.oarc.ucla.edu/xmlrpc.php?rsd (from https://stats.oarc.ucla.edu/r/)
13:36:23	Error: 	"Forbidden" (403) at link https://stats.oarc.ucla.edu/xmlrpc.php (from https://stats.oarc.ucla.edu/r/)
13:37:35	Warning: 	Retry after error -2 (Receive Time Out) at link cybermetrics.wlv.ac.uk/paperdata/misusevuong.pdf (from https://stats.oarc.ucla.edu/r/dae/zip/)
13:41:27	Warning: 	Retry after error -2 (Receive Time Out) at link cybermetrics.wlv.ac.uk/paperdata/misusevuong.pdf (from https://stats.oarc.ucla.edu/r/dae/zip/)
13:43:27	Error: 	"Receive Time Out" (-2) after 2 retries at link cybermetrics.wlv.ac.uk/paperdata/misusevuong.pdf (from https://stats.oarc.ucla.edu/r/dae/zip/)

HTTrack Website Copier/3.49-5 mirror complete in 11 minutes 47 seconds : 192 links scanned, 249 files written (6744095 bytes overall), 173 files updated [1375192 bytes received at 1945 bytes/sec], 3919376 bytes transferred using HTTP compression in 167 files, ratio 23%, 1.6 requests per connection
(5 errors, 23 warnings, 0 messages)
